,Layer Name,Input Feature Map Location,Input upsampling ratio,Input channels,Input rows,Input columns,Input bytes,Output Feature Map Location,Output down sampling location,Output channels,Output rows,Output columns,Output bytes,Filter co-efficient Location,Filter upsampling ratio,Filter grouping,Filter rows,Filter columns,Filter bytes,Input feature map movement time,Filter co-efficient movement time,Output feature map data movement time,Total data movement time,Matrix compute time,Vector compute time,Total compute time,Serial total time,Parallel total time
0,input_4,0,1,3,299,299,268203,1,1,3,299,299,268203,0,0,0,0,0,0,2.68203e-05,0.0,0,2.68203e-05,0.0,0.0,0.0,2.68203e-05,2.68203e-05
1,conv2d,1,1,3,299,299,268203,1,2,32,149,149,710432,0,1,32,3,3,864,0.0,8.64e-08,0,8.64e-08,1.873209375e-05,0.0,1.873209375e-05,1.881849375e-05,1.873209375e-05
2,batch_normalization,1,1,32,149,149,710432,1,1,32,149,149,710432,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.2201e-05,2.2201e-05,2.2201e-05,2.2201e-05
3,activation_49,1,1,32,149,149,710432,1,1,32,149,149,710432,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.2201e-05,2.2201e-05,2.2201e-05,2.2201e-05
4,conv2d_1,1,1,32,149,149,710432,1,1,32,147,147,691488,0,1,32,3,3,9216,0.0,9.216e-07,0,9.216e-07,0.000194481,0.0,0.000194481,0.0001954026,0.000194481
5,batch_normalization_1,1,1,32,147,147,691488,1,1,32,147,147,691488,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.1609e-05,2.1609e-05,2.1609e-05,2.1609e-05
6,activation_50,1,1,32,147,147,691488,1,1,32,147,147,691488,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.1609e-05,2.1609e-05,2.1609e-05,2.1609e-05
7,conv2d_2,1,1,32,147,147,691488,1,1,64,147,147,1382976,0,1,64,3,3,18432,0.0,1.8432e-06,0,1.8432e-06,0.000388962,0.0,0.000388962,0.0003908052,0.000388962
8,batch_normalization_2,1,1,64,147,147,1382976,1,1,64,147,147,1382976,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,4.3218e-05,4.3218e-05,4.3218e-05,4.3218e-05
9,activation_51,1,1,64,147,147,1382976,1,1,64,147,147,1382976,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,4.3218e-05,4.3218e-05,4.3218e-05,4.3218e-05
10,max_pooling2d_1,1,1,64,147,147,1382976,1,2,64,73,73,341056,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,4.3218e-05,4.3218e-05,4.3218e-05,4.3218e-05
11,conv2d_3,1,1,64,73,73,341056,1,1,80,73,73,426320,0,1,80,1,1,5120,0.0,5.12e-07,0,5.12e-07,2.6645e-05,0.0,2.6645e-05,2.7157e-05,2.6645e-05
12,batch_normalization_3,1,1,80,73,73,426320,1,1,80,73,73,426320,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.33225e-05,1.33225e-05,1.33225e-05,1.33225e-05
13,activation_52,1,1,80,73,73,426320,1,1,80,73,73,426320,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.33225e-05,1.33225e-05,1.33225e-05,1.33225e-05
14,conv2d_4,1,1,80,73,73,426320,1,1,192,71,71,967872,0,1,192,3,3,138240,0.0,1.3824e-05,0,1.3824e-05,0.000680535,0.0,0.000680535,0.000694359,0.000680535
15,batch_normalization_4,1,1,192,71,71,967872,1,1,192,71,71,967872,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,3.0246e-05,3.0246e-05,3.0246e-05,3.0246e-05
16,activation_53,1,1,192,71,71,967872,1,1,192,71,71,967872,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,3.0246e-05,3.0246e-05,3.0246e-05,3.0246e-05
17,max_pooling2d_2,1,1,192,71,71,967872,1,2,192,35,35,235200,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,3.0246e-05,3.0246e-05,3.0246e-05,3.0246e-05
18,conv2d_8,1,1,192,35,35,235200,1,1,64,35,35,78400,0,1,64,1,1,12288,0.0,1.2288e-06,0,1.2288e-06,1.47e-05,0.0,1.47e-05,1.59288e-05,1.47e-05
19,batch_normalization_8,1,1,64,35,35,78400,1,1,64,35,35,78400,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.45e-06,2.45e-06,2.45e-06,2.45e-06
20,activation_57,1,1,64,35,35,78400,1,1,64,35,35,78400,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.45e-06,2.45e-06,2.45e-06,2.45e-06
21,conv2d_6,1,1,192,35,35,235200,1,1,48,35,35,58800,0,1,48,1,1,9216,0.0,9.216e-07,0,9.216e-07,1.1025e-05,0.0,1.1025e-05,1.19466e-05,1.1025e-05
22,conv2d_9,1,1,64,35,35,78400,1,1,96,35,35,117600,0,1,96,3,3,55296,0.0,5.5296e-06,0,5.5296e-06,6.615e-05,0.0,6.615e-05,7.167959999999999e-05,6.615e-05
23,batch_normalization_6,1,1,48,35,35,58800,1,1,48,35,35,58800,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.8375e-06,1.8375e-06,1.8375e-06,1.8375e-06
24,batch_normalization_9,1,1,96,35,35,117600,1,1,96,35,35,117600,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,3.675e-06,3.675e-06,3.675e-06,3.675e-06
25,activation_55,1,1,48,35,35,58800,1,1,48,35,35,58800,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.8375e-06,1.8375e-06,1.8375e-06,1.8375e-06
26,activation_58,1,1,96,35,35,117600,1,1,96,35,35,117600,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,3.675e-06,3.675e-06,3.675e-06,3.675e-06
27,average_pooling2d,1,1,192,35,35,235200,1,1,96,35,35,117600,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,7.35e-06,7.35e-06,7.35e-06,7.35e-06
28,conv2d_5,1,1,192,35,35,235200,1,1,64,35,35,78400,0,1,64,1,1,12288,0.0,1.2288e-06,0,1.2288e-06,1.47e-05,0.0,1.47e-05,1.59288e-05,1.47e-05
