,Layer Name,Input Feature Map Location,Input upsampling ratio,Input channels,Input rows,Input columns,Input bytes,Output Feature Map Location,Output down sampling location,Output channels,Output rows,Output columns,Output bytes,Filter co-efficient Location,Filter upsampling ratio,Filter grouping,Filter rows,Filter columns,Filter bytes,Input feature map movement time,Filter co-efficient movement time,Output feature map data movement time,Total data movement time,Matrix compute time,Vector compute time,Total compute time,Serial total time,Parallel total time
0,input_3,0,1,3,224,224,150528,1,1,3,224,224,150528,0,0,0,0,0,0,1.50528e-05,0.0,0,1.50528e-05,0.0,0.0,0.0,1.50528e-05,1.50528e-05
1,conv1_pad,1,1,3,224,224,150528,1,1,3,225,225,151875,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,conv1,1,1,3,225,225,151875,1,2,32,112,112,401408,0,1,32,3,3,864,0.0,8.64e-08,0,8.64e-08,1.0584e-05,0.0,1.0584e-05,1.06704e-05,1.0584e-05
3,conv1_bn,1,1,32,112,112,401408,1,1,32,112,112,401408,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.2544e-05,1.2544e-05,1.2544e-05,1.2544e-05
4,conv1_relu,1,1,32,112,112,401408,1,1,32,112,112,401408,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,conv_dw_1,1,1,32,112,112,401408,1,1,32,112,112,401408,0,1,32,3,3,288,0.0,2.88e-08,0,2.88e-08,0.000112896,0.0,0.000112896,0.0001129248,0.000112896
6,conv_dw_1_bn,1,1,32,112,112,401408,1,1,32,112,112,401408,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.2544e-05,1.2544e-05,1.2544e-05,1.2544e-05
7,conv_dw_1_relu,1,1,32,112,112,401408,1,1,32,112,112,401408,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
8,conv_pw_1,1,1,32,112,112,401408,1,1,64,112,112,802816,0,1,64,1,1,2048,0.0,2.048e-07,0,2.048e-07,2.5088e-05,0.0,2.5088e-05,2.52928e-05,2.5088e-05
9,conv_pw_1_bn,1,1,64,112,112,802816,1,1,64,112,112,802816,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.5088e-05,2.5088e-05,2.5088e-05,2.5088e-05
