,Layer Name,Input Feature Map Location,Input upsampling ratio,Input channels,Input rows,Input columns,Input bytes,Output Feature Map Location,Output down sampling location,Output channels,Output rows,Output columns,Output bytes,Filter co-efficient Location,Filter upsampling ratio,Filter grouping,Filter rows,Filter columns,Filter bytes,Input feature map movement time,Filter co-efficient movement time,Output feature map data movement time,Total data movement time,Matrix compute time,Vector compute time,Total compute time,Serial total time,Parallel total time
0,input_1,0,1,3,224,224,150528,1,1,3,224,224,150528,0,0,0,0,0,0,1.50528e-05,0.0,0,1.50528e-05,0.0,0.0,0.0,1.50528e-05,1.50528e-05
1,conv1_pad,1,1,3,224,224,150528,1,1,3,230,230,158700,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,conv1,1,1,3,230,230,158700,1,2,64,112,112,802816,0,1,64,7,7,9408,0.0,9.408e-07,0,9.408e-07,0.000115248,0.0,0.000115248,0.00011618880000000001,0.000115248
3,bn_conv1,1,1,64,112,112,802816,1,1,64,112,112,802816,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.5088e-05,2.5088e-05,2.5088e-05,2.5088e-05
4,activation,1,1,64,112,112,802816,1,1,64,112,112,802816,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.5088e-05,2.5088e-05,2.5088e-05,2.5088e-05
5,pool1_pad,1,1,64,112,112,802816,1,1,64,114,114,831744,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,max_pooling2d,1,1,64,114,114,831744,1,2,64,56,56,200704,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.5992e-05,2.5992e-05,2.5992e-05,2.5992e-05
7,res2a_branch2a,1,1,64,56,56,200704,1,1,64,56,56,200704,0,1,64,1,1,4096,0.0,4.096e-07,0,4.096e-07,1.2544e-05,0.0,1.2544e-05,1.29536e-05,1.2544e-05
8,bn2a_branch2a,1,1,64,56,56,200704,1,1,64,56,56,200704,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,6.272e-06,6.272e-06,6.272e-06,6.272e-06
9,activation_1,1,1,64,56,56,200704,1,1,64,56,56,200704,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,6.272e-06,6.272e-06,6.272e-06,6.272e-06
10,res2a_branch2b,1,1,64,56,56,200704,1,1,64,56,56,200704,0,1,64,3,3,36864,0.0,3.6864e-06,0,3.6864e-06,0.000112896,0.0,0.000112896,0.0001165824,0.000112896
11,bn2a_branch2b,1,1,64,56,56,200704,1,1,64,56,56,200704,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,6.272e-06,6.272e-06,6.272e-06,6.272e-06
12,activation_2,1,1,64,56,56,200704,1,1,64,56,56,200704,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,6.272e-06,6.272e-06,6.272e-06,6.272e-06
13,res2a_branch2c,1,1,64,56,56,200704,1,1,256,56,56,802816,0,1,256,1,1,16384,0.0,1.6384e-06,0,1.6384e-06,5.0176e-05,0.0,5.0176e-05,5.18144e-05,5.0176e-05
14,res2a_branch1,1,1,64,56,56,200704,1,1,256,56,56,802816,0,1,256,1,1,16384,0.0,1.6384e-06,0,1.6384e-06,5.0176e-05,0.0,5.0176e-05,5.18144e-05,5.0176e-05
15,bn2a_branch2c,1,1,256,56,56,802816,1,1,256,56,56,802816,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.5088e-05,2.5088e-05,2.5088e-05,2.5088e-05
16,bn2a_branch1,1,1,256,56,56,802816,1,1,256,56,56,802816,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.5088e-05,2.5088e-05,2.5088e-05,2.5088e-05
17,add,1,1,256,56,56,1605632,1,1,256,56,56,802816,0,0,0,0,0,0,8.02816e-05,0.0,0,8.02816e-05,0.0,5.0176e-05,5.0176e-05,0.0001304576,8.02816e-05
18,activation_3,1,1,256,56,56,802816,1,1,256,56,56,802816,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.5088e-05,2.5088e-05,2.5088e-05,2.5088e-05
19,res2b_branch2a,1,1,256,56,56,802816,1,1,64,56,56,200704,0,1,64,1,1,16384,0.0,1.6384e-06,0,1.6384e-06,5.0176e-05,0.0,5.0176e-05,5.18144e-05,5.0176e-05
20,bn2b_branch2a,1,1,64,56,56,200704,1,1,64,56,56,200704,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,6.272e-06,6.272e-06,6.272e-06,6.272e-06
21,activation_4,1,1,64,56,56,200704,1,1,64,56,56,200704,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,6.272e-06,6.272e-06,6.272e-06,6.272e-06
22,res2b_branch2b,1,1,64,56,56,200704,1,1,64,56,56,200704,0,1,64,3,3,36864,0.0,3.6864e-06,0,3.6864e-06,0.000112896,0.0,0.000112896,0.0001165824,0.000112896
23,bn2b_branch2b,1,1,64,56,56,200704,1,1,64,56,56,200704,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,6.272e-06,6.272e-06,6.272e-06,6.272e-06
24,activation_5,1,1,64,56,56,200704,1,1,64,56,56,200704,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,6.272e-06,6.272e-06,6.272e-06,6.272e-06
25,res2b_branch2c,1,1,64,56,56,200704,1,1,256,56,56,802816,0,1,256,1,1,16384,0.0,1.6384e-06,0,1.6384e-06,5.0176e-05,0.0,5.0176e-05,5.18144e-05,5.0176e-05
26,bn2b_branch2c,1,1,256,56,56,802816,1,1,256,56,56,802816,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.5088e-05,2.5088e-05,2.5088e-05,2.5088e-05
27,add_1,1,1,256,56,56,1605632,1,1,256,56,56,802816,0,0,0,0,0,0,8.02816e-05,0.0,0,8.02816e-05,0.0,5.0176e-05,5.0176e-05,0.0001304576,8.02816e-05
28,activation_6,1,1,256,56,56,802816,1,1,256,56,56,802816,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.5088e-05,2.5088e-05,2.5088e-05,2.5088e-05
29,res2c_branch2a,1,1,256,56,56,802816,1,1,64,56,56,200704,0,1,64,1,1,16384,0.0,1.6384e-06,0,1.6384e-06,5.0176e-05,0.0,5.0176e-05,5.18144e-05,5.0176e-05
30,bn2c_branch2a,1,1,64,56,56,200704,1,1,64,56,56,200704,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,6.272e-06,6.272e-06,6.272e-06,6.272e-06
31,activation_7,1,1,64,56,56,200704,1,1,64,56,56,200704,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,6.272e-06,6.272e-06,6.272e-06,6.272e-06
32,res2c_branch2b,1,1,64,56,56,200704,1,1,64,56,56,200704,0,1,64,3,3,36864,0.0,3.6864e-06,0,3.6864e-06,0.000112896,0.0,0.000112896,0.0001165824,0.000112896
33,bn2c_branch2b,1,1,64,56,56,200704,1,1,64,56,56,200704,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,6.272e-06,6.272e-06,6.272e-06,6.272e-06
34,activation_8,1,1,64,56,56,200704,1,1,64,56,56,200704,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,6.272e-06,6.272e-06,6.272e-06,6.272e-06
35,res2c_branch2c,1,1,64,56,56,200704,1,1,256,56,56,802816,0,1,256,1,1,16384,0.0,1.6384e-06,0,1.6384e-06,5.0176e-05,0.0,5.0176e-05,5.18144e-05,5.0176e-05
36,bn2c_branch2c,1,1,256,56,56,802816,1,1,256,56,56,802816,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.5088e-05,2.5088e-05,2.5088e-05,2.5088e-05
37,add_2,1,1,256,56,56,1605632,1,1,256,56,56,802816,0,0,0,0,0,0,8.02816e-05,0.0,0,8.02816e-05,0.0,5.0176e-05,5.0176e-05,0.0001304576,8.02816e-05
38,activation_9,1,1,256,56,56,802816,1,1,256,56,56,802816,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.5088e-05,2.5088e-05,2.5088e-05,2.5088e-05
39,res3a_branch2a,1,1,256,56,56,802816,1,2,128,28,28,100352,0,1,128,1,1,32768,0.0,3.2768e-06,0,3.2768e-06,2.5088e-05,0.0,2.5088e-05,2.83648e-05,2.5088e-05
40,bn3a_branch2a,1,1,128,28,28,100352,1,1,128,28,28,100352,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,3.136e-06,3.136e-06,3.136e-06,3.136e-06
41,activation_10,1,1,128,28,28,100352,1,1,128,28,28,100352,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,3.136e-06,3.136e-06,3.136e-06,3.136e-06
