,Layer Name,Input Feature Map Location,Input upsampling ratio,Input channels,Input rows,Input columns,Input bytes,Output Feature Map Location,Output down sampling location,Output channels,Output rows,Output columns,Output bytes,Filter co-efficient Location,Filter upsampling ratio,Filter grouping,Filter rows,Filter columns,Filter bytes,Input feature map movement time,Filter co-efficient movement time,Output feature map data movement time,Total data movement time,Matrix compute time,Vector compute time,Total compute time,Serial total time,Parallel total time
0,input_2,0,1,3,224,224,150528,1,1,3,224,224,150528,0,0,0,0,0,0,1.50528e-05,0.0,0,1.50528e-05,0.0,0.0,0.0,1.50528e-05,1.50528e-05
1,block1_conv1,1,1,3,224,224,150528,1,1,64,224,224,3211264,0,1,64,3,3,1728,0.0,1.728e-07,0,1.728e-07,8.4672e-05,0.0,8.4672e-05,8.48448e-05,8.4672e-05
2,block1_conv2,1,1,64,224,224,3211264,1,1,64,224,224,3211264,0,1,64,3,3,36864,0.0,3.6864e-06,0,3.6864e-06,0.001806336,0.0,0.001806336,0.0018100224,0.001806336
3,block1_pool,1,1,64,224,224,3211264,1,2,64,112,112,802816,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.000100352,0.000100352,0.000100352,0.000100352
4,block2_conv1,1,1,64,112,112,802816,1,1,128,112,112,1605632,0,1,128,3,3,73728,0.0,7.3728e-06,0,7.3728e-06,0.000903168,0.0,0.000903168,0.0009105408,0.000903168
5,block2_conv2,1,1,128,112,112,1605632,1,1,128,112,112,1605632,0,1,128,3,3,147456,0.0,1.47456e-05,0,1.47456e-05,0.001806336,0.0,0.001806336,0.0018210816,0.001806336
6,block2_pool,1,1,128,112,112,1605632,1,2,128,56,56,401408,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,5.0176e-05,5.0176e-05,5.0176e-05,5.0176e-05
7,block3_conv1,1,1,128,56,56,401408,1,1,256,56,56,802816,0,1,256,3,3,294912,0.0,2.94912e-05,0,2.94912e-05,0.000903168,0.0,0.000903168,0.0009326592,0.000903168
8,block3_conv2,1,1,256,56,56,802816,1,1,256,56,56,802816,0,1,256,3,3,589824,0.0,5.89824e-05,0,5.89824e-05,0.001806336,0.0,0.001806336,0.0018653184,0.001806336
9,block3_conv3,1,1,256,56,56,802816,1,1,256,56,56,802816,0,1,256,3,3,589824,0.0,5.89824e-05,0,5.89824e-05,0.001806336,0.0,0.001806336,0.0018653184,0.001806336
10,block3_conv4,1,1,256,56,56,802816,1,1,256,56,56,802816,0,1,256,3,3,589824,0.0,5.89824e-05,0,5.89824e-05,0.001806336,0.0,0.001806336,0.0018653184,0.001806336
11,block3_pool,1,1,256,56,56,802816,1,2,256,28,28,200704,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.5088e-05,2.5088e-05,2.5088e-05,2.5088e-05
12,block4_conv1,1,1,256,28,28,200704,1,1,512,28,28,401408,0,1,512,3,3,1179648,0.0,0.0001179648,0,0.0001179648,0.000903168,0.0,0.000903168,0.0010211328,0.000903168
13,block4_conv2,1,1,512,28,28,401408,1,1,512,28,28,401408,0,1,512,3,3,2359296,0.0,0.0002359296,0,0.0002359296,0.001806336,0.0,0.001806336,0.0020422656,0.001806336
14,block4_conv3,1,1,512,28,28,401408,1,1,512,28,28,401408,0,1,512,3,3,2359296,0.0,0.0002359296,0,0.0002359296,0.001806336,0.0,0.001806336,0.0020422656,0.001806336
15,block4_conv4,1,1,512,28,28,401408,1,1,512,28,28,401408,0,1,512,3,3,2359296,0.0,0.0002359296,0,0.0002359296,0.001806336,0.0,0.001806336,0.0020422656,0.001806336
16,block4_pool,1,1,512,28,28,401408,1,2,512,14,14,100352,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.2544e-05,1.2544e-05,1.2544e-05,1.2544e-05
17,block5_conv1,1,1,512,14,14,100352,1,1,512,14,14,100352,0,1,512,3,3,2359296,0.0,0.0002359296,0,0.0002359296,0.000451584,0.0,0.000451584,0.0006875136,0.000451584
18,block5_conv2,1,1,512,14,14,100352,1,1,512,14,14,100352,0,1,512,3,3,2359296,0.0,0.0002359296,0,0.0002359296,0.000451584,0.0,0.000451584,0.0006875136,0.000451584
19,block5_conv3,1,1,512,14,14,100352,1,1,512,14,14,100352,0,1,512,3,3,2359296,0.0,0.0002359296,0,0.0002359296,0.000451584,0.0,0.000451584,0.0006875136,0.000451584
20,block5_conv4,1,1,512,14,14,100352,1,1,512,14,14,100352,0,1,512,3,3,2359296,0.0,0.0002359296,0,0.0002359296,0.000451584,0.0,0.000451584,0.0006875136,0.000451584
21,block5_pool,1,1,512,14,14,100352,1,2,512,7,7,25088,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,3.136e-06,3.136e-06,3.136e-06,3.136e-06
22,flatten,1,1,512,7,7,25088,1,1,25088,1,1,25088,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
23,fc1,1,1,25088,1,1,25088,1,1,4096,1,1,4096,0,0,0,0,0,0,0.0,0.0,0,0.0,0.000100352,0.0,0.000100352,0.000100352,0.000100352
24,fc2,1,1,4096,1,1,4096,1,1,4096,1,1,4096,0,0,0,0,0,0,0.0,0.0,0,0.0,1.6384e-05,0.0,1.6384e-05,1.6384e-05,1.6384e-05
25,predictions,1,1,4096,1,1,4096,1,1,1000,1,1,1000,0,0,0,0,0,0,0.0,0.0,0,0.0,4.128e-06,0.0,4.128e-06,4.128e-06,4.128e-06






Total Input feature map movement time = 0.02 ms
Total Filter co-efficient movement time = 2.00 ms
Total Output feature map data movement time = 0.00 ms
Total data movement time of network = 2.02 ms
Total Matrix compute time = 19.17 ms
Total Vector compute time = 0.19 ms
Total compute time of network = 19.36 ms
Total Serial total time = 21.38 ms
Total Parallel total time = 19.38 ms
